
time 06h 06m 40s, episodes 26401, frames 22.1M, run epr 438.14, run loss 46.31
time 06h 07m 50s, episodes 26484, frames 22.1M, run epr 427.47, run loss 45.51
time 06h 09m 19s, episodes 26578, frames 22.2M, run epr 443.23, run loss 54.59
time 06h 10m 40s, episodes 26664, frames 22.3M, run epr 444.53, run loss 46.87
time 06h 11m 41s, episodes 26736, frames 22.4M, run epr 410.53, run loss 45.76
time 06h 12m 57s, episodes 26822, frames 22.4M, run epr 422.08, run loss 51.12
time 06h 14m 05s, episodes 26896, frames 22.5M, run epr 416.69, run loss 56.10
time 06h 15m 06s, episodes 26970, frames 22.6M, run epr 409.24, run loss 47.72
time 06h 16m 15s, episodes 27050, frames 22.6M, run epr 406.71, run loss 46.50
time 06h 17m 26s, episodes 27131, frames 22.7M, run epr 393.48, run loss 43.95
time 06h 18m 33s, episodes 27202, frames 22.8M, run epr 431.38, run loss 49.77
time 06h 19m 57s, episodes 27295, frames 22.8M, run epr 432.94, run loss 48.43
