
time 04h 32m 24s, episodes 20669, frames 17.4M, mean epr 422.98, run loss 76.88
time 04h 33m 24s, episodes 20747, frames 17.5M, mean epr 410.43, run loss 73.36
time 04h 34m 24s, episodes 20826, frames 17.5M, mean epr 425.96, run loss 76.56
time 04h 35m 24s, episodes 20892, frames 17.6M, mean epr 430.04, run loss 79.55
time 04h 36m 24s, episodes 20948, frames 17.6M, mean epr 439.97, run loss 80.52
time 04h 37m 24s, episodes 21004, frames 17.7M, mean epr 428.99, run loss 75.94
time 04h 38m 24s, episodes 21065, frames 17.7M, mean epr 420.95, run loss 70.42
time 04h 39m 24s, episodes 21108, frames 17.8M, mean epr 422.67, run loss 76.32
time 04h 40m 24s, episodes 21149, frames 17.8M, mean epr 439.31, run loss 78.65
time 04h 41m 24s, episodes 21209, frames 17.9M, mean epr 424.97, run loss 73.74
time 04h 42m 25s, episodes 21273, frames 17.9M, mean epr 419.24, run loss 73.93
time 04h 43m 25s, episodes 21326, frames 18.0M, mean epr 436.00, run loss 70.43

	18M frames: saved model

time 04h 44m 25s, episodes 21376, frames 18.0M, mean epr 442.66, run loss 69.43
time 04h 45m 25s, episodes 21426, frames 18.1M, mean epr 450.59, run loss 73.95
time 04h 46m 25s, episodes 21474, frames 18.1M, mean epr 447.66, run loss 79.23
time 04h 47m 25s, episodes 21519, frames 18.2M, mean epr 455.05, run loss 77.91
time 04h 48m 25s, episodes 21579, frames 18.2M, mean epr 441.42, run loss 76.35
time 04h 49m 25s, episodes 21629, frames 18.3M, mean epr 426.22, run loss 72.50
time 04h 50m 25s, episodes 21684, frames 18.3M, mean epr 426.87, run loss 61.46
time 04h 51m 25s, episodes 21739, frames 18.4M, mean epr 435.85, run loss 67.30
time 04h 52m 26s, episodes 21789, frames 18.4M, mean epr 446.98, run loss 74.28
time 04h 53m 26s, episodes 21839, frames 18.4M, mean epr 434.31, run loss 75.06
time 04h 54m 26s, episodes 21898, frames 18.5M, mean epr 408.21, run loss 67.08
time 04h 55m 26s, episodes 21946, frames 18.5M, mean epr 408.69, run loss 70.08
time 04h 56m 26s, episodes 21994, frames 18.6M, mean epr 427.22, run loss 71.43
time 04h 57m 26s, episodes 22047, frames 18.6M, mean epr 459.21, run loss 72.50
time 04h 58m 26s, episodes 22096, frames 18.7M, mean epr 466.25, run loss 73.36
time 04h 59m 26s, episodes 22146, frames 18.7M, mean epr 464.41, run loss 73.67
time 05h 00m 26s, episodes 22202, frames 18.8M, mean epr 446.54, run loss 67.99
time 05h 01m 26s, episodes 22255, frames 18.8M, mean epr 443.77, run loss 70.55
time 05h 02m 26s, episodes 22306, frames 18.9M, mean epr 447.18, run loss 68.07
time 05h 03m 26s, episodes 22360, frames 18.9M, mean epr 440.89, run loss 65.50
time 05h 04m 26s, episodes 22416, frames 19.0M, mean epr 417.42, run loss 63.08
time 05h 05m 27s, episodes 22473, frames 19.0M, mean epr 408.52, run loss 66.34
time 05h 06m 27s, episodes 22528, frames 19.1M, mean epr 412.85, run loss 65.37
time 05h 07m 27s, episodes 22579, frames 19.1M, mean epr 428.06, run loss 66.06
time 05h 08m 27s, episodes 22626, frames 19.2M, mean epr 425.43, run loss 67.29
time 05h 09m 27s, episodes 22674, frames 19.2M, mean epr 437.57, run loss 69.01
time 05h 10m 27s, episodes 22716, frames 19.2M, mean epr 431.10, run loss 69.03
time 05h 11m 27s, episodes 22768, frames 19.3M, mean epr 449.43, run loss 72.96
time 05h 12m 27s, episodes 22822, frames 19.3M, mean epr 436.87, run loss 68.42
time 05h 13m 27s, episodes 22874, frames 19.4M, mean epr 441.39, run loss 66.75
time 05h 14m 27s, episodes 22925, frames 19.4M, mean epr 431.37, run loss 67.99
time 05h 15m 27s, episodes 22974, frames 19.5M, mean epr 433.38, run loss 66.70
time 05h 16m 28s, episodes 23023, frames 19.5M, mean epr 429.74, run loss 70.62
time 05h 17m 28s, episodes 23072, frames 19.6M, mean epr 442.19, run loss 74.89
time 05h 18m 28s, episodes 23124, frames 19.6M, mean epr 433.36, run loss 71.32
time 05h 19m 28s, episodes 23175, frames 19.7M, mean epr 445.65, run loss 71.41
time 05h 20m 28s, episodes 23222, frames 19.7M, mean epr 454.76, run loss 78.53
time 05h 21m 28s, episodes 23272, frames 19.7M, mean epr 447.14, run loss 81.27
time 05h 22m 28s, episodes 23321, frames 19.8M, mean epr 444.13, run loss 83.70
time 05h 23m 28s, episodes 23378, frames 19.8M, mean epr 439.70, run loss 85.87
