
time 07h 33m 01s, episodes 8707, frames 25.8M, run epr 18.48, run loss -33.12
time 07h 34m 28s, episodes 8747, frames 25.9M, run epr 18.42, run loss -33.48

	26M frames: saved model

time 07h 36m 04s, episodes 8786, frames 26.0M, run epr 18.20, run loss -34.36
time 07h 37m 32s, episodes 8825, frames 26.1M, run epr 18.01, run loss -34.82
time 07h 39m 09s, episodes 8863, frames 26.2M, run epr 17.52, run loss -35.58
time 07h 40m 35s, episodes 8901, frames 26.3M, run epr 17.54, run loss -31.04
time 07h 41m 59s, episodes 8940, frames 26.4M, run epr 17.73, run loss -32.34
time 07h 43m 36s, episodes 8983, frames 26.6M, run epr 17.84, run loss -34.44
time 07h 45m 12s, episodes 9023, frames 26.7M, run epr 17.85, run loss -33.19
time 07h 46m 47s, episodes 9064, frames 26.8M, run epr 17.86, run loss -33.99
time 07h 48m 23s, episodes 9108, frames 26.9M, run epr 17.83, run loss -33.45
time 07h 49m 49s, episodes 9145, frames 27.0M, run epr 18.05, run loss -33.25
time 07h 51m 22s, episodes 9187, frames 27.1M, run epr 18.25, run loss -31.25
time 07h 52m 45s, episodes 9226, frames 27.2M, run epr 18.34, run loss -33.26
time 07h 54m 11s, episodes 9265, frames 27.3M, run epr 18.53, run loss -31.93
time 07h 55m 35s, episodes 9302, frames 27.4M, run epr 18.41, run loss -34.73
time 07h 56m 58s, episodes 9339, frames 27.5M, run epr 18.39, run loss -34.43
time 07h 58m 27s, episodes 9377, frames 27.6M, run epr 18.38, run loss -33.57
time 07h 59m 50s, episodes 9413, frames 27.7M, run epr 18.35, run loss -34.24
time 08h 01m 22s, episodes 9453, frames 27.8M, run epr 18.14, run loss -33.11
time 08h 02m 47s, episodes 9493, frames 27.9M, run epr 18.19, run loss -33.06

	28M frames: saved model

time 08h 04m 05s, episodes 9529, frames 28.0M, run epr 18.35, run loss -33.06
time 08h 05m 52s, episodes 9576, frames 28.1M, run epr 18.38, run loss -33.23
time 08h 07m 26s, episodes 9619, frames 28.3M, run epr 18.57, run loss -32.68
time 08h 08m 49s, episodes 9655, frames 28.4M, run epr 18.51, run loss -33.11
time 08h 10m 21s, episodes 9697, frames 28.5M, run epr 18.31, run loss -33.32
time 08h 11m 56s, episodes 9739, frames 28.6M, run epr 18.40, run loss -33.44
time 08h 13m 21s, episodes 9776, frames 28.7M, run epr 18.36, run loss -33.85
time 08h 15m 06s, episodes 9827, frames 28.8M, run epr 18.56, run loss -33.95
time 08h 16m 34s, episodes 9866, frames 28.9M, run epr 18.68, run loss -32.05
time 08h 18m 02s, episodes 9906, frames 29.0M, run epr 18.62, run loss -33.41
time 08h 19m 26s, episodes 9944, frames 29.1M, run epr 18.55, run loss -33.16
time 08h 21m 14s, episodes 9991, frames 29.2M, run epr 18.35, run loss -33.12
time 08h 22m 37s, episodes 10028, frames 29.3M, run epr 18.34, run loss -33.45
time 08h 24m 02s, episodes 10065, frames 29.4M, run epr 18.11, run loss -33.06
